type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
GKS;101010;Schule für allgemeine Gesundheits- und Krankenpflege - Expositur Eisenstadt;1840679.84,6081590.74;Neusiedler Straße 55;7000;Eisenstadt;öffentl.;0;32;4;28
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;17;383;186;197
NMSH;101012;Mittelschule;1839578.63,6082189.31;Rosental;7001;Eisenstadt;öffentl.;20;442;249;193
SS;101013;Allgemeine Sonderschule;1840743.59,6081415.79;Neusiedler Straße 58 A;7000;Eisenstadt;öffentl.;7;54;38;16
PS;101014;Polytechnische Schule;1839578.63,6082189.31;Rosental;7000;Eisenstadt;öffentl.;3;57;37;20
BS;101015;Landesberufsschule;1840583.72,6081613.19;Gölbeszeile 10-12;7000;Eisenstadt;öffentl.;34;627;257;370
AHS;101016;Bundesgymnasium und Bundesrealgymnasium;1840219.08,6081735.05;Kurzwiese;7000;Eisenstadt;öffentl.;54;1328;617;711
NMSH;101022;Private römisch-katholische Mittelschule des Vereins der Schulen der Schwestern vom Göttlichen Erlöser;1837887.26,6081328.7;Oberberg, Kalvarienbergplatz 8;7000;Eisenstadt;privat;20;503;274;229
AHS;101026;Privates Oberstufenrealgymnasium des Vereins der Schulen der Schwestern vom Göttlichen Erlöser;1837887.26,6081328.7;Theresianum, Kalvarienbergplatz 8;7000;Eisenstadt;privat;8;178;61;117
AHS;101036;Gymnasium der Diözese Eisenstadt;1838066.06,6082614.61;Wolfgarten;7001;Eisenstadt;privat;16;359;176;183
VS;101061;Volksschule;1842387.73,6082932.97;Schulgasse 1;7000;Eisenstadt-Sankt Georgen;öffentl.;6;139;84;55
VS;101071;Volksschule;1836650.59,6080201.13;Kleinhöfleiner Hauptstraße 8a;7000;Eisenstadt;öffentl.;4;88;48;40
ASTAT;101081;Privatschule Sonnenland Schule des Vereins Waldorfinitiative Sonnenland;1840218.43,6082174.88;Ing. H. Sylvester Straße 7;7000;Eisenstadt;privat;12;95;37;58
BMHSK;101418;Bundeshandelsakademie und Bundeshandelsschule;1840815.4,6081205.81;Bad Kissingen-Platz 3;7001;Eisenstadt;öffentl.;28;627;219;408
BMHSW;101429;Private Höhere Lehranstalt und Fachschule für wirtschaftliche Berufe des Vereins der Schulen der Schwestern vom Göttlichen Erlöser(Leitung: 101026);1837887.26,6081328.7;Theresianum, Kalvarienbergplatz 8;7000;Eisenstadt;privat;13;310;72;238
BMHST;101437;Höhere technische Bundeslehranstalt;1840815.4,6081205.81;Bad Kissingen-Platz 3;7000;Eisenstadt;öffentl.;36;879;818;61
LFMS;101710;Landwirtschaftliche Fachschule;1839906.18,6081297.26;Neusiedler Straße 6;7000;Eisenstadt;öffentl.;3;75;56;19
GKS;101920;BFI Burgenland -  Pflegeausbildung am Standort Eisenstadt;1837792.26,6081050.71;Wienerstraße 7;7000;Eisenstadt;privat;0;16;2;14
GKS;101930;WIFI Burgenland - Ausbildungen im Gesundheitsbereich am Standort Eisenstadt;1839802.94,6080687.59;Robert-Graf-Platz 1;7000;Eisenstadt;privat;0;23;null;23
VS;102011;Volksschule;1855228.74,6073850.9;Baumgartengasse 15;7071;Rust;öffentl.;3;52;23;29
NMSH;102012;Mittelschule;1855228.74,6073850.9;Baumgartengasse 15;7071;Rust;öffentl.;8;124;70;54
VS;103011;Volksschule;1863204.54,6097570.94;Gottfried Kumpf-Gasse 52;7091;Breitenbrunn am Neusiedler See;öffentl.;3;52;27;25
NMSH;103012;Mittelschule;1822966.52,6084901.52;Hauptstraße 32;2491;Neufeld an der Leitha;öffentl.;10;165;101;64
VS;103021;Volksschule;1852782.77,6090203.44;Schulgasse 12;7082;Donnerskirchen;öffentl.;4;63;31;32
NMSH;103022;Mittelschule;1858327.22,6093012.72;Schmalkräftengasse 20;7083;Purbach am Neusiedler See;öffentl.;5;77;38;39
