type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;score;AHS-Unterstufe;Neue Mittelschule an AHS;Neue Mittelschule an Hauptschulen;Sonderschulen;Sonst. allgemeinbild. (Statut)Schulen;Wiederholung der Schulstufe im gleichen Schultyp
VS;317161;Volksschule;1812912.81,6120748.51;Babenbergergasse 20;2340;Mödling;öffentl.;1;25;8;17;1;14;;3;;;
VS;312141;Volksschule Niederhollabrunn;1814215.63,6184283.18;Bruderndorf, Schulplatz 1;2004;Niederhollabrunn;öffentl.;2;30;17;13;0.7738095238095237;13;;4;;;
VS;108041;Volksschule;1833894.81,6022193.77;Dörfl,Obere Hauptstraße 119;7453;Steinberg-Dörfl;öffentl.;2;44;27;17;0.5681818181818181;14;;9;;;
VS;313581;Volksschule;1722100.5,6173317.29;Weißenkirchen in der Wachau 169;3610;Weißenkirchen in der Wachau;öffentl.;2;41;17;24;0.5226480836236933;12;;1;;;
VS;612051;Volksschule;1606659.09,6026526.15;Bärndorf;8786;Rottenmann;öffentl.;1;7;2;5;0.510204081632653;2;;1;;;
VS;313011;Volksschule;1714497.66,6155935.2;Aggsbach Markt 12;3641;Aggsbach;öffentl.;1;8;4;4;0.4464285714285714;2;;1;;;
VS;902171;Private Volksschule des Vereines Wiener Sängerknaben Augartenpalais;1823483.53,6143893.12;Obere Augartenstraße 1c,Augartenpalais;1020;Wien;privat;5;108;70;38;0.42989417989417983;26;;;;;1
VS;904081;Volksschule im Theresianum - V.i.T. - der Stiftung Theresianische Akademie Wien;1822398.21,6139038.25;Favoritenstraße 15;1040;Wien;privat;8;212;95;117;0.4295822102425876;51;;1;;;1
VS;919111;Private Volksschule (Maria Regina) des Vereins Vereinigung von Ordensschulen Österreichs;1820670.85,6147256.4;Döblinger Hauptstraße 83;1190;Wien;privat;13;296;151;145;0.42833011583011577;71;;3;;1;
VS;909051;Volksschule;1820548.86,6143655.08;Währinger Straße 43;1090;Wien;öffentl.;9;219;108;111;0.4240052185257664;52;;7;;;1
VS;201191;Volksschule St. Ursula Klagenfurt;1592434.5,5881090.41;Ursulinengasse 1;9010;Klagenfurt am Wörthersee;privat;11;245;115;130;0.42274052478134105;58;;10;;1;
VS;408291;Volksschule;1533805.13,6142307.14;Sankt Georgen bei Grieskirchen 31;4710;Grieskirchen;öffentl.;2;39;25;14;0.41208791208791207;9;;1;;;
VS;610301;Volksschule;1733783.2,5921835.64;Sankt Georgen/Stiefing 130;8413;Sankt Georgen an der Stiefing;öffentl.;5;74;36;38;0.4102316602316602;17;;11;;;
VS;418271;Privatschule Volksschule des Vereins Triangel+Co - Verein für ganzheitliches Leben und Lernen;1571139.34,6141423.06;Oberneufahrn 6;4614;Marchtrenk;privat;4;35;22;13;0.4081632653061224;8;;1;;;
VS;923131;Volksschule St. Ursula Wien;1810435.84,6132934.36;Franz-Asenbauer-Gasse 49;1230;Wien;privat;9;210;101;109;0.4081632653061224;48;;1;;;
VS;414061;Volksschule;1498640.29,6184995.82;Schulstraße 12;4786;Brunnenthal;öffentl.;6;92;55;37;0.40760869565217384;21;;12;;;
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;128;67;61;0.4045758928571428;29;;1;;;
VS;923191;Private Volksschule Kollegium Kalksburg des Vereins Vereinigung von Ordensschulen Österreichs;1808518.5,6129276.28;Promenadeweg 3;1230;Wien;privat;9;212;104;108;0.40431266846361186;48;1;2;;;
VS;321421;Volksschule Klosterneuburg Hermannstraße, Schule im Zentrum;1817105.7,6157484.15;Hermannstraße 11;3400;Klosterneuburg;öffentl.;8;156;79;77;0.4006410256410256;35;;11;;;
VS;913071;Volksschule des Schulvereins der Dominikanerinnen;1810334.28,6138983.68;Schloßberggasse 17;1130;Wien;privat;8;193;83;110;0.39785344189489263;43;1;;;;
VS;317141;Volksschule;1812277.31,6123158.31;Schulplatz 2;2344;Maria Enzersdorf;öffentl.;11;220;110;110;0.39772727272727265;49;;13;1;;
VS;321451;Private Volksschule des Vereins Vereinigung von Ordensschulen Österreichs;1814907.33,6161282.95;Kritzendorf, Hauptstraße 22;3420;Klosterneuburg;privat;9;180;99;81;0.39682539682539675;40;;1;;1;1
VS;616331;Private Volksschule Pack des Souveränen Malteser-Ritter-Ordens, Großpriorat Österreich;1668425.06,5938433.33;Pack 155;8583;Hirschegg-Pack;privat;1;9;5;4;0.39682539682539675;2;;9;;;
VS;701181;Volksschule Innere Stadt;1268611.53,5985918.97;Angerzellgasse 12;6020;Innsbruck;öffentl.;11;234;133;101;0.39682539682539675;52;;8;;;
VS;919091;Volksschule;1817704.88,6148423.84;Windhabergasse 2;1190;Wien;öffentl.;8;196;98;98;0.3917638483965014;43;;1;;;
VS;601501;Volksschule Sankt Peter;1722770.68,5950959.21;Thomas-Arbeiter-Gasse 12;8042;Graz-Sankt Peter;öffentl.;13;301;164;137;0.3915519696250593;66;;3;;;
VS;321401;Volksschule;1816666.52,6158640.12;Albrechtsstraße 59;3400;Klosterneuburg;öffentl.;9;194;93;101;0.38659793814432986;42;;18;;;
VS;401561;Volksschule 51 Auhofschule;1594584.85,6162372.23;Auhof, Aubrunnerweg 43;4040;Linz;öffentl.;4;74;39;35;0.3861003861003861;16;;11;;;4
VS;601621;Volksschule Berliner Ring;1725424.95,5954309.06;Rudolfstraße 242;8047;Graz-Ragnitz;öffentl.;8;176;84;92;0.38555194805194803;38;;5;;;1
VS;914091;Volksschule;1808442.36,6141356.04;Mondweg 73-83;1140;Wien;öffentl.;12;252;140;112;0.3826530612244897;54;1;5;;;2
VS;908041;Volksschule der P.P. Piaristen;1820099.98,6141901.83;Piaristengasse 43;1080;Wien;privat;12;295;145;150;0.38135593220338976;63;;4;;;
VS;612121;Volksschule;1609764.14,6040595.46;Hall 197;8911;Admont;öffentl.;4;61;30;31;0.38056206088992967;13;;9;1;;
VS;407431;Volksschule Ort des Schulvereins der Kreuzschwestern;1534256.45,6092367.37;Pensionatstraße 9;4810;Gmunden;privat;10;190;89;101;0.3759398496240601;40;;2;;1;1
VS;601551;Private Volksschule Sacre Coeur Graz des Vereins Vereinigung von Ordensschulen Österreichs;1720368.65,5952857.62;Petersgasse 1;8010;Graz;privat;12;247;125;122;0.3759398496240601;52;;1;;;1
VS;917031;Volksschule;1813681.86,6145531.91;Knollgasse 6;1170;Wien;öffentl.;16;362;185;177;0.37490134175217044;76;1;6;;;
VS;903031;Volksschule;1824847.5,6139163.76;Eslarngasse 23;1030;Wien;öffentl.;13;266;159;107;0.3692266380236304;55;;10;1;;1
VS;317171;Volksschule;1813461.14,6121619.52;Lerchengasse 35;2340;Mödling;öffentl.;8;165;84;81;0.36796536796536794;34;;4;;;
VS;210471;Volksschule;1570778.3,5901598.03;Sankt Ulrich, Scheiberweg 2;9560;Feldkirchen in Kärnten;öffentl.;4;68;39;29;0.3676470588235294;14;;2;;;
VS;409071;Volksschule;1573581.27,6117051.05;Kirchberg 19;4550;Kremsmünster;öffentl.;4;73;31;42;0.36692759295499017;15;;1;;1;
VS;611041;Josef Krainer-Volksschule;1666478.29,6009753.31;Gai 1;8793;Trofaiach;öffentl.;5;78;48;30;0.3663003663003663;16;;1;;;1
VS;901031;Private Volksschule der Schulstiftung der Erzdiözese Wien;1822217.45,6142122.6;Judenplatz 6;1010;Wien;privat;10;250;120;130;0.3642857142857142;51;;;;;
VS;305581;Private Volksschule des Vereins für Franziskanische Bildung;1655143.35,6127308.74;Rathausstraße 16;3300;Amstetten;privat;4;94;46;48;0.3609422492401215;19;;2;;;
VS;903121;Private Volksschule Sacre Coeur der Schulstiftung der Erzdiözese Wien;1824003.56,6139372.36;Rennweg 31;1030;Wien;privat;16;401;182;219;0.36070537940862124;81;1;4;;;
VS;106141;Volksschule;1838231.1,6058722.19;Kirchenplatz 1;7022;Schattendorf;öffentl.;7;95;41;54;0.35714285714285715;19;;7;;;
VS;204251;Volksschule;1573848.09,5867606.7;Ludmannsdorf 44;9072;Ludmannsdorf;öffentl.;4;60;36;24;0.35714285714285715;12;;2;;;
