type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;lt_type;lt_skz;lt_desc;lt_ipub_desc;lt_street;lt_zip;lt_city;count
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;18;378;189;189;AHS;101016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Kurzwiese;7000;Eisenstadt;36
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;18;378;189;189;NMSH;101012;Mittelschule;Neue Mittelschule an Hauptschulen;Rosental;7001;Eisenstadt;28
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;18;378;189;189;NMSH;101022;Private römisch-katholische Mittelschule des Vereins der Schulen der Schwestern vom Göttlichen Erlöser;Neue Mittelschule an Hauptschulen;Oberberg, Kalvarienbergplatz 8;7000;Eisenstadt;12
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;18;378;189;189;AHS;101036;Gymnasium der Diözese Eisenstadt;AHS-Unterstufe;Wolfgarten;7001;Eisenstadt;9
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;18;378;189;189;NMSH;106012;Mittelschule;Neue Mittelschule an Hauptschulen;Wulkalände 4;7210;Mattersburg;0
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;18;378;189;189;VS;101011;Volksschule;Wiederholung der Schulstufe im gleichen Schultyp;Bahnstraße 2-4;7000;Eisenstadt;0
VS;101011;Volksschule;1839397.99,6081000.46;Bahnstraße 2-4;7000;Eisenstadt;öffentl.;18;378;189;189;NMSH;106032;Mittelschule;Neue Mittelschule an Hauptschulen;Fabriksgasse 53;7022;Schattendorf;0
VS;101061;Volksschule;1842387.73,6082932.97;Schulgasse 1;7000;Eisenstadt-Sankt Georgen;öffentl.;5;114;60;54;AHS;101016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Kurzwiese;7000;Eisenstadt;22
VS;101061;Volksschule;1842387.73,6082932.97;Schulgasse 1;7000;Eisenstadt-Sankt Georgen;öffentl.;5;114;60;54;NMSH;101022;Private römisch-katholische Mittelschule des Vereins der Schulen der Schwestern vom Göttlichen Erlöser;Neue Mittelschule an Hauptschulen;Oberberg, Kalvarienbergplatz 8;7000;Eisenstadt;7
VS;101061;Volksschule;1842387.73,6082932.97;Schulgasse 1;7000;Eisenstadt-Sankt Georgen;öffentl.;5;114;60;54;NMSH;101012;Mittelschule;Neue Mittelschule an Hauptschulen;Rosental;7001;Eisenstadt;0
